Twitter Username,Post,Date Posted
@Adh1007,PM 9 = PM 8...same from the failure genes !!! Definitely #KerajaanGagal,"Aug 27, 2021"
@Adh1007,PM 9 from Umno....dissapointed #KerajaanGagal,"Aug 27, 2021"
@Adh1007,Rakyat already the result...no need to wait 100 days ! #KerajaanGagal X2,"Aug 27, 2021"
@Adh1007,Recycle #KerajaanGagal ...,"Aug 27, 2021"
@Adh1007,Same #KerajaanGagal ...hopeless already ! Recycle the non performance,"Aug 27, 2021"
@Adh1007,Still maintain #KerajaanGagal  kabinet !!! Hopeless already,"Aug 27, 2021"
@Adh1007,The red tape or playing politic by govt....#KerajaanGagal,"Dec 22, 2021"
@AdibNor,Expect nothing from politikus & vips. Different breed depa ni  #RakyatJagaRakyat,"Dec 20, 2021"
@AdrianL80419815,Back to #KerajaanGagal,"Aug 27, 2021"
@AdrianL80419815,Is there a qualfied leader in #KerajaanGagal ?,"Dec 26, 2021"
@AdrianL80419815,Money cannot compensate for the loss of lives #KerajaanGagal #KerajaanPembunuh,"Dec 24, 2021"
@AdrianL80419815,Stop this nonsense. This is just for political mileage. Shld be reporting what is actually happening on the ground. Who are the heroes? The rakyat not the BLOODY VVIPS and their families. Blood is on their hands. #KerajaanGagal #TV3Gagal,"Dec 22, 2021"
@Adrian_T1000,"#BreakingNews :Today in Malaysia, over 30million ppl are reported to have experienced an unprecedented sense of déjà vu! Sources confirm, the disorientation was shortly followed by an collective groan & deep sighs. Stay tuned more! #Malaysia #KerajaanGagal #KerajaanGagal2","Aug 27, 2021"
@Adrian_T1000,It’s our patriotic duty to open a can of VERBAL whoop ass upon anyone who wrongfully asserts that Malaysia isnt BIG on recycling! #Cabinet #Malaysia #KerajaanGagal #KerajaanGagal2 #NotMyPM,"Aug 27, 2021"
@Adrian_T1000,"Just because things are OPEN now.. a day after #Malaysia clocked its highest daily cases of #covid so far… do you really NEED to go out? 
#SaturdayThoughts #kerajaangagal #rakyatgagal","Aug 21, 2021"
@Adrian_T1000,"Not surprised bout Malaysia’s new Cabinet. The govt are doin what they do best, and play musical chairs… while the opposition does what they do best and play pass the parcel! #malaysia #cabinet #KerajaanGagal #KerajaanGagal2","Aug 27, 2021"
@Adrian_T1000,"The more things change, the more they stay the same #cabinet #malaysia #KerajaanGagal #KerajaanGagal2 #NotMyPM","Aug 27, 2021"
@AfafAsyr4f,"#KerajaanGagal 2.0

Our expectations is low. But holy shit .","Aug 27, 2021"
@AhPingGor,"Congrats ""PM9"" @IsmailSabri60
Thanks #KerajaanGagal for today new high","Aug 19, 2021"
@AhPingGor,No chance la... this #kerajaangagal failed us. Now for sure nothing will change or even worst until PRU.,"Aug 21, 2021"
@AhmadAysar03_,Haters gonna hate us #RakyatJagaRakyat,"Dec 19, 2021"
@Ahmad_husaini14,"DO NOT DONATE TO GOVERNMENT

#KerajaanGagal 
#KerajaanBangsat","Dec 25, 2021"
@Ahmad_husaini14,"Yes government had to intervene up to a point had to cancel ministers leave and call them back after so many had died. That your intervention. F***
#kerajaangagal","Jan 20, 2022"
@AhmdSfwn,#KerajaanGagal is back!,"Aug 27, 2021"
@AiWannaYou1,It's really #RakyatJagaRakyat,"Dec 19, 2021"
@AiemenRazieq,"What circle of hell is Malaysia in for me to read abt “private shelters” during a relatively benign, predictable disaster?

#KerajaanGagal #KerajaanGagalLagi #DaruratBanjir","Dec 20, 2021"
@AimanFndi,Seems like we cannot trust & depends on people comes from political background especially from the government.  #RakyatJagaRakyat,"Dec 22, 2021"
@AimanMoeis,"Can we expect the first Monkeypox case in Malaysia from him as well?

#justsaying
#KerajaanGagal","Jun 2, 2022"
@AimanPersona,"Living in malaysia is such a disappointment, we had to deal with these old government geezers

#KerajaanGagal","Dec 19, 2021"
@AinShafikha,Congrates Malaysia  #RakyatJagaRakyat,"Dec 22, 2021"
