Twitter Username,Post,Date Posted
@AdamFaridOngg,"Malaysia government and education system fucked up big time. Dear leaders, you suck. Thank you. #KerajaanPembunuh #KerajaanGagal #KerajaanGagalLagi","Dec 20, 2021"
@AdeeologyTweets,"HELL NO! @MuhyiddinYassin 
|￣￣￣￣￣￣￣￣￣￣￣￣￣￣|
              #KerajaanGagal
|＿＿＿＿＿＿＿＿＿＿＿＿＿＿|
                     \ (•◡•) / 
                       \      / 
                        ——
                        |     |
                        |_   |_","Aug 28, 2022"
@AdeeologyTweets,"To each his/her own (views). I am not a party/coalition person, personally am disgusted with politaik. Problem here is no clear majority. What good I do see;
1. No forced policymaking along party/coalition lines.
2. No suffering a full term of #KerajaanGagal
Nantilah ludah lagi.","Nov 21, 2022"
@AdeeologyTweets,"Your actions belies your intentions. My words however, are true. I sincerely hope, fervently, that you and your family be struck by Covid in all its variants.

Good riddance! It has been a nightmarish ride, #KerajaanGagal #KabinetPenuhMangkuk.","Aug 16, 2021"
@Adh1007,#KerajaanGagal  clone by PM 9,"Aug 27, 2021"
@Adh1007,#KerajaanGagal ....useless govt,"Jun 24, 2022"
@Adh1007,Cabinet recycle #KerajaanGagal  !!!,"Aug 27, 2021"
@Adh1007,"Cabinet recycle already @IsmailSabri60 , confirm #KerajaanGagal","Aug 27, 2021"
@Adh1007,Cheap publicity by govt...#KerajaanGagal ...#RakyatBantuRakyat,"Dec 24, 2021"
@Adh1007,"Choosing the right candidate for minister @IsmailSabri60 , for efficiency & hard work ! Enough off  #KerajaanGagal","Aug 22, 2021"
@Adh1007,Coward act by @IsmailSabri60 @SPRMMalaysia .....#KerajaanGagal ...corrupted,"Jan 18, 2022"
@Adh1007,Dah confirm #KerajaanGagal X2,"Aug 27, 2021"
@Adh1007,"Kabinet #KerajaanGagal , get loss PRU 15","Aug 27, 2021"
@Adh1007,Lepasan #KerajaanGagal ....graduated,"Aug 21, 2021"
@Adh1007,PM 9 = PM 8...same from the failure genes !!! Definitely #KerajaanGagal,"Aug 27, 2021"
@Adh1007,PM 9 from Umno....dissapointed #KerajaanGagal,"Aug 27, 2021"
@Adh1007,Rakyat already the result...no need to wait 100 days ! #KerajaanGagal X2,"Aug 27, 2021"
@Adh1007,Recycle #KerajaanGagal ...,"Aug 27, 2021"
@Adh1007,Same #KerajaanGagal ...hopeless already ! Recycle the non performance,"Aug 27, 2021"
@Adh1007,Speaker #KerajaanGagal,"Dec 24, 2021"
@Adh1007,Still maintain #KerajaanGagal  kabinet !!! Hopeless already,"Aug 27, 2021"
@Adh1007,The red tape or playing politic by govt....#KerajaanGagal,"Dec 22, 2021"
@AdiZech,#KerajaanGagal is back.,"Nov 20, 2022"
@AdreIdris,"BREAKING: WhatsApp is down! The whole country goes crazy.

BROKEN: Malaysian politician convict serving time in prison gets airtime on nasional TV. The whole country goes dumb.
#GE15 #PRU15 #VoteThemOut #UndiMerekaKeluar #KuasaJari #KerajaanGagal","Oct 25, 2022"
@AdrianL80419815,Back to #KerajaanGagal,"Aug 27, 2021"
@AdrianL80419815,Is there a qualfied leader in #KerajaanGagal ?,"Dec 26, 2021"
@AdrianL80419815,Money cannot compensate for the loss of lives #KerajaanGagal #KerajaanPembunuh,"Dec 24, 2021"
@AdrianL80419815,Stop this nonsense. This is just for political mileage. Shld be reporting what is actually happening on the ground. Who are the heroes? The rakyat not the BLOODY VVIPS and their families. Blood is on their hands. #KerajaanGagal #TV3Gagal,"Dec 22, 2021"
@Adrian_T1000,"#BreakingNews :Today in Malaysia, over 30million ppl are reported to have experienced an unprecedented sense of déjà vu! Sources confirm, the disorientation was shortly followed by an collective groan & deep sighs. Stay tuned more! #Malaysia #KerajaanGagal #KerajaanGagal2","Aug 27, 2021"
@Adrian_T1000,It’s our patriotic duty to open a can of VERBAL whoop ass upon anyone who wrongfully asserts that Malaysia isnt BIG on recycling! #Cabinet #Malaysia #KerajaanGagal #KerajaanGagal2 #NotMyPM,"Aug 27, 2021"
@Adrian_T1000,"Just because things are OPEN now.. a day after #Malaysia clocked its highest daily cases of #covid so far… do you really NEED to go out? 
#SaturdayThoughts #kerajaangagal #rakyatgagal","Aug 21, 2021"
@Adrian_T1000,"NZ: ONE case detected!!?!?! Lock this shit down NOW!!!

Malaysia: 22k cases? NEW National daily record?!?!? hmm.. but my hair does need a trim though…
#onlyinMalaysia #kerajaangagal #rakyatgagal #COVID19","Aug 18, 2021"
@Adrian_T1000,"Not surprised bout Malaysia’s new Cabinet. The govt are doin what they do best, and play musical chairs… while the opposition does what they do best and play pass the parcel! #malaysia #cabinet #KerajaanGagal #KerajaanGagal2","Aug 27, 2021"
@Adrian_T1000,"The more things change, the more they stay the same #cabinet #malaysia #KerajaanGagal #KerajaanGagal2 #NotMyPM","Aug 27, 2021"
@Adriannathen,We’re in dark times. #KerajaanGagal,"Nov 20, 2022"
@AfafAsyr4f,"#KerajaanGagal 2.0

Our expectations is low. But holy shit .","Aug 27, 2021"
@Afie_winchester,Twitter these days filled up with good content instead of shitty ass relationship story of yall. #KerajaanGagal,"Nov 20, 2022"
@Aggaas_A,"Muhiyiddin already became the worst PM last time, he himself resigned due to over pressured skrg sibuk pulak nak jadi pm 
#PM10
#KerajaanGagal 
#PRU15","Nov 22, 2022"
@AhPingGor,"Congrats ""PM9"" @IsmailSabri60
Thanks #KerajaanGagal for today new high","Aug 19, 2021"
@AhPingGor,No chance la... this #kerajaangagal failed us. Now for sure nothing will change or even worst until PRU.,"Aug 21, 2021"
@AhPingGor,"Stupid decision!!! Our mission to bring down #KerajaanGagal
Please listen to us, the rakyat.
@dapmalaysia
@KEADILAN
@PartiAmanah
@pakatanharapan_","Aug 15, 2021"
@AhPingGor,"This joker as PM9... we, the rakyat reject those from #KerajaanGagal","Aug 18, 2021"
@AhPingGor,Your PM9 & Cabinet also part of #KerajaanGagal,"Sep 6, 2021"
@Ahmad_husaini14,"DO NOT DONATE TO GOVERNMENT

#KerajaanGagal 
#KerajaanBangsat","Dec 25, 2021"
@Ahmad_husaini14,"Yes government had to intervene up to a point had to cancel ministers leave and call them back after so many had died. That your intervention. F***
#kerajaangagal","Jan 20, 2022"
@AhmdSfwn,#KerajaanGagal is back!,"Aug 27, 2021"
@AhmdfaizalShahh,"Ask Taliban to Control our country ? Haha bodoh 
#Taliban #KerajaanGagal","Aug 18, 2021"
@AhmdfaizalShahh,I have no love for PH as i knew some of them are provoking us #KerajaanGagal,"Nov 20, 2022"
@AiemenRazieq,"What circle of hell is Malaysia in for me to read abt “private shelters” during a relatively benign, predictable disaster?

#KerajaanGagal #KerajaanGagalLagi #DaruratBanjir","Dec 20, 2021"
@AiinaZubir,Yet the majority still vote orang yang ada dalam #KerajaanGagal  then what is the purposed of having a new PM if the scheme  the system still the same????,"Aug 18, 2021"
@AimanMoeis,"Can we expect the first Monkeypox case in Malaysia from him as well?

#justsaying
#KerajaanGagal","Jun 2, 2022"
@AimanPersona,"Living in malaysia is such a disappointment, we had to deal with these old government geezers

#KerajaanGagal","Dec 19, 2021"
@AimanS_,Appointing someone that once step down due to being incompetent and known for #KerajaanGagal as PM. Imagine at what Ohio level Malaysia currently is.,"Nov 20, 2022"
@Ainaa_Syana,I’m so embarrassed being citizen of this country. Even people from outside malaysia willing to help while our government being a failure like always. They don’t know which thing to prioritize and pretend that they’re doing their best already #KerajaanGagal,"Dec 19, 2021"
@AiringBells,"If only the authorities reacted this quickly during the floods!

#TangkapAzamBaki 
#RombakSPRM 
#KerajaanGagal","Jan 22, 2022"
@AisonHoh,"Malaysia Goverment : Communism is straightly prohibited ! 

Also Malaysia Goverment : 
- sue whoever talk shit about them
- can't discriminate ministers even tho they sucks (truly)
- censor bad reviews about them

#KerajaanBangsat
#KerajaanGagal
#noobshit","Jan 26, 2022"
@AizatSays,Not #KerajaanGagalLagi trending as if it is a movie sequel to #KerajaanGagal ,"Dec 26, 2021"
@Aizuddin_Adli,Where is our “Keluarga Malaysia”?  #KerajaanGagal,"Dec 18, 2021"
@Aj36912151821,Kalau betul @IsmailSabri60 naik jadi PM kalini most probably aku akan log out semua social media aku dan ignore whatever SHITS happens in M'sia. Ive no longer have any hopes in a molecular level in our country anymore and so be it. #kerajaansial #KerajaanGagal,"Aug 19, 2021"
@AkaunNasional,But then they still clinging to Langkah Sheraton / Kerajaan Pintu Belakang. Fucking weak sial. The real #kerajaangagal is definitely PH.,"May 26, 2022"
@AkidRosli,"So when can we start voicing out our dissatisfaction towards Sabri? Best time to get him out like we did with Muhyiddin. One by one we hedge out shitty PMs until we get a decent one. 

#SabriGagal
#KerajaanGagal","Dec 19, 2021"
@AkmZafrn,You know what #KerajaanGagal,"Dec 19, 2021"
@AlawiyahYussof,"2/2
why appointment of your team is very important. They should be appointed based on  their capabilities NOT their support. 

You just proved that you continue the #KerajaanGagal which you inherited from @MuhyiddinYassin.

Lembap!","Dec 23, 2021"
@AlawiyahYussof,"@IsmailSabri60
ganti @MuhyiddinYassin?

No, he is also part of the  #kerajaangagal and the Scheme of Things plan. 

We should not worry of him. If he is no longer a DPM, he is still an MP. He can also be his SIL's  fashion model whilst doing food reviews.

Kita ni yang tak ada.","Aug 15, 2021"
